Tagalog,English
malakas,strong
naiintindihan,Understand
enerhiya,energy
maayos,well
unang,first
sighs,sighs
toddy,Toddy
darating,come
tumawag,Call
sinong,Who is it
may-ari,owner
kailan,When
makukuha,available
panoorin,Watch
m,m
kuha,Photo
grabe,Grabe
kama,bed
palagay,assumption
kuwarto,room
mama,Mom
mismo,itself
ayokong,I do not like
on,on
lagi,Still
ibibigay,give
hirap,hard
mahirap,It's hard
puwet,Butt
babalik,come back
sobrang,Extremely
pera,money
aleman,German
kasal,Married
huh,Huh
bilyong,Billion
tatlong,Three
tahimik,Quiet
kalimutan,Forget
lakas,Strength
uy,Hey
tanong,Question
nagbibigay,Provides
engineer,Engineer
salita,word
tignan,Look
pagdating,Coming
sakit,pain
dagat,sea
panganib,danger
magkaroon,have
subukan,try
hot,Hot
bahala,It's up to you
ganun,That's it
wangdu,Wangdu
tabi,Tabi
ibigay,give
nahanap,found
aba,Why
krus,Cross
chanchad,Chanchad
nyang,nya
papunta,Going
puno,Fun
mangyayari,It will happen
please,Please
galit,angry
litrato,Photo
mahilig,Lovers
dog,Dog
daw,Daw
maalala,Remember
bakla,queer
iligtas,Save
whoa,Whoa
dragon,Dragon
narito,Here
mag,mag
pamamagitan,intercession
nahuli,caught
pum,Pum
kagabi,Last night
up,up
pagiging,being
control,Control
tuwing,Every time
sina,That's it
honey,honey
ayoko,I do not want
sulat,letter
naririnig,heard
kada,per
ilog,River
hubad,naked
tunay,True
handa,ready
laman,Plang
susi,key
kesa,Kesa
lawa,Lake
punta,Punta
good,Good
kakaiba,Strange
bayag,Bayag
dali,Come on
ilan,some
nagtatrabaho,employed
katawan,Body
bears,Bears
turbo,Turbo
nakaraan,past
inumin,Drink
pabilis,Speed
buti,Buti
batang,Batang
hinahanap,looking for
lampin,diaper
gamitin,use
sugita,Sugita
tandaan,Remember
katotohanan,Truth
orc,Orc
papatayin,Kill
sigaw,shout
jin-hee,Jin-hee
panginoon,Lord
sweetie,Sweetie
kailanman,ever
estudyante,student
out,out
soo-an,Soo-an
muli,again
mahalaga,Important
pasensya,Sorry
guwapong,handsome
um,Um
eto,Here
sundalo,soldiers
mata,Eyes
pati,Also
maari,Maari
zombie,Zombie
gaya,Like
are,are
malalaman,will know
mangyari,happen
butler,Butler
puro,Puro
kinuha,taken
nakakatakot,scary
kaarawan,Birthday
nun,Nun
mabuhay,live
gaano,how much
naaalala,Remember
pangunahing,primary
patawarin,Forgive
mona,Mona
planeta,Planet
ma,Ma
titi,Titi
uncensored,UNCENSORED
langis,oil
baril,guns
baba,Baba
kuya,Kuya
nagkaroon,had
dalhin,Take
tiwala,Trust
for,For
populasyon,Population
phone,Phone
masamang,bad
sarap,Sarap
pagod,Tired
gayon,so
papuntang,to
naintindihan,understood
mahusay,well
kaguluhan,disturbance
ibinigay,provided
gago,Gago
engineering,Engineering
kim,Kim
mag-isa,alone
itsura,Look
kabundukan,mountains
pwedeng,It can be
pusa,cat
bumili,buy
natutuwa,Glad
libro,book
pasko,Christmas
tuloy,Tuloy
ina,Mother
una,First
tumayo,Stand up
sasama,Sabasama
magkita,meet
facebook,Facebook
nyong,Nyong
palm,Palm
kwento,Story
dadaan,Pahasaan
simula,Beginning
andito,here
contestant,Contestant
bundok,Mountain
extra,Extra
mahahanap,Find
hi,Hi
hesus,Jesus
himura,Himura
ganitong,This is
tumakbo,run
chief,Chief
kalaban,opponent
tumabi,Stay away
uri,Type
yon,Yon
baliw,Crazy
itlog,eggs
maintindihan,understand
opisina,office
palakpakan,Applause
pag-ibig,Love
lumaki,grew up
dating,Dating
aya,Aya
apoy,Fire
pen,Pen
wherethebearsare.tv,wherethebearsare.tv
naalala,Remember
ring,Ring
nasan,where
kapoor,Kapoor
gutom,hungry
sexy,Sexy
ate,Ate
gidget,gidget
emergency,Emergency
gawa,action
kaoru,Kaoru
director,Director
ulan,Rain
labi,lips
inay,Mom
eagle,eagle
ice,Ice
huminahon,Calm down
tiny,Tiny
tapusin,Finish
mataas,High
ipapakita,Show
yaman,treasure
naghahanap,Looking for
ginagamit,used
sampung,Ten
mawala,disappear
lalo,especially
naninirahan,living
panting,Panting
syudad,city
isipin,Imagine
nakakatawa,It's funny
exam,Exam
mabait,Kindly
kahoy,wood
sumunod,Next
totoong,Really
sapat,Enough
seryoso,Seriously
masasabi,It can be said
ding,Ding
dadalhin,Take
pigilan,Prevent
nagsimula,started
magaralgal,screaming
pranses,French
libo,thousand
viper,Viper
datu,Datu
pag-asa,hope
mahanap,find
magnanakaw,Thieves
itigil,Stop
time,Time
makapaniwalang,Believe
karagatan,Ocean
bilbo,bilbo
tarantado,Tarantado
pong,pong
sinira,broke
plano,plan
ibaba,Lower
lumayo,Get away
syempre,Of course
tong,tong
nalalaman,Knowing
nagiging,becomes
e-mail,e-mail
carbon,Carbon
nilalang,Creatures
bola,Ball
ideya,idea
mister,Mister
ginamit,used
paborito,Favorite
ewan,do not know
pataas,Up
sex,Sex
joy,Joy
halimbawa,For example
itim,Black
gotta,Gotta
umupo,sit down
halaman,plants
relasyon,Relationships
hinihintay,Waiting
suot,Wearing
huminto,stop
aalis,leaving
balita,News
sira,Sira
buddy,Buddy
tatlo,Three
klase,class
pagkakamali,mistake
natural,Natural
pool,Pool
tamang,Correct
binaril,shot
sumasayaw,dancing
nilason,Nasason
kalikasan,nature
chuckles,Chuckles
misyon,Mission
yata,Yata
snowball,Snowball
bosselet,Boshelet
alisin,Remove
naglagay,Put
mahabang,long
kin,kin
paalam,Goodbye
aktor,actor
rastogi,Rastogi
nag,Nag
thanksgiving,Thanksgiving
dubai,Dubai
tinatawag,called
cam,Cam
silencer,SILENCER
bumaba,Get off
nakilala,recognized
is,Is
hingal,Haling
vacuum,vacuum
siguradong,definitely
pagpunta,going
tagumpay,success
kuneho,Rabbit
dala,carrying
apat,four
ikot,round
malayo,Far away
bartender,bartender
iori,Iori
tanggapin,Accept
sama,Sama
limang,five
alalahanin,Remember
where,Where
kainin,Eat
pabayaan,Let it go
banda,Banda
pasok,Pass
bar,Bar
kili,kili
sandata,Weapon
gagawa,Do
springs,Springs
boyfriend,Boyfriend
danny,Danny
matapos,After
kayamanan,Wealth
ingat,take care
itay,Dad
rechampot,Rechampot
pantalon,pants
nanalo,Won
espesyal,Special
linya,line
libong,Thousands
maniwala,Believe
niyan,That's it
computer,computer
grado,Grade
pansinin,Notice
gunggong,Gunggong
tugtog,tune
pagkamatay,death
trainer,trainer
madali,Easy
karapatan,Right
umaasa,hope
pinili,chosen
pendleton,Pendleton
marahil,Probably
school,School
new,New
isda,fish
pagdiriwang,celebration
scooter,Scooter
halaga,value
kapangyarihan,power
raw,Raw
paggawa,Working
martini,Martini
gumising,Wake up
sala,living room
nababaliw,going crazy
hihinto,stop
klima,Climate
umuwi,Go home
gabing,night
sigurong,Sig surely
tinitingnan,Looking
puntahan,go
nakakaraan,Later
maligayang,Happy
hawak,Hold on
isipol,mindol
impormasyon,information
nanganganib,threatened
pinadala,sent
chloe,Chloe
relo,watch
lihim,Secret
butas,holes
lumang,Old
pinuno,leader
espadang,Espadang
makarating,come
okubo,Okubo
sinubukan,tried
nagawa,done
brad,Brad
web,Web
nagtatago,hiding
bisita,Visitor
college,College
utot,Utot
and,and
naglaro,Played
laptop,Laptop
importante,Important
kakaibang,Strange
utos,command
nakakatuwa,It's funny
tumakas,escape
katapusan,End
in,in
san,San
binigyan,Given
nakakita,saw
magkano,How much
birthday,Birthday
pops,Pops
sumakay,Take a ride
kalahati,half
mawawala,Missing
tanungin,Ask
magalala,worry
balik,Back
asan,where
naiisip,Thinking
maghanap,Search
sitwasyon,situation
utak,brain
nawawala,missing
species,species
ibon,Birds
boss,Boss
pintuan,door
tatawagin,Call
ahas,snake
non,non
isip,mind
langit,Heaven
